Flight,File name,Latitude (GDA94) (deg),Longitude (GDA94) (deg),Ellipsoid height (GDA94) (m),RMS Error North (m),RMS Error East (m),RMS Error Up (m)
3,100_0003_0118.JPG,-38.74771008,143.67129478,98.484,0.015,0.012,0.034
3,100_0003_0119.JPG,-38.74746773,143.67114754,98.806,0.015,0.012,0.032
3,100_0003_0120.JPG,-38.74740561,143.67111551,98.925,0.013,0.011,0.028
3,100_0003_0121.JPG,-38.74714510,143.67125559,97.956,0.012,0.009,0.024
3,100_0003_0122.JPG,-38.74693843,143.67139885,98.563,0.010,0.007,0.019
3,100_0003_0123.JPG,-38.74720368,143.67155907,97.769,0.011,0.009,0.022
3,100_0003_0124.JPG,-38.74744444,143.67170634,97.996,0.013,0.010,0.027
3,100_0003_0125.JPG,-38.74768605,143.67185489,98.361,0.014,0.011,0.031
3,100_0003_0126.JPG,-38.74792549,143.67200067,98.449,0.015,0.012,0.032
3,100_0003_0127.JPG,-38.74805409,143.67208557,98.357,0.015,0.012,0.032
3,100_0003_0128.JPG,-38.74786797,143.67214495,97.685,0.012,0.009,0.025
3,100_0003_0129.JPG,-38.74762689,143.67230720,97.722,0.011,0.008,0.021
3,100_0003_0130.JPG,-38.74755985,143.67235604,98.006,0.009,0.007,0.018
3,100_0003_0131.JPG,-38.74730489,143.67219065,97.286,0.011,0.009,0.023
3,100_0003_0132.JPG,-38.74706088,143.67204381,97.493,0.013,0.010,0.026
3,100_0003_0133.JPG,-38.74682191,143.67189517,97.916,0.014,0.011,0.029
3,100_0003_0134.JPG,-38.74658227,143.67174860,98.303,0.015,0.012,0.034
3,100_0003_0135.JPG,-38.74649880,143.67170464,98.451,0.015,0.012,0.033
3,100_0003_0136.JPG,-38.74624538,143.67187113,97.744,0.013,0.011,0.028
3,100_0003_0137.JPG,-38.74607710,143.67201396,98.306,0.011,0.008,0.022
3,100_0003_0138.JPG,-38.74634317,143.67217703,97.719,0.009,0.007,0.018
3,100_0003_0139.JPG,-38.74658207,143.67232402,98.193,0.010,0.008,0.020
3,100_0003_0140.JPG,-38.74682343,143.67246988,98.207,0.012,0.010,0.025
3,100_0003_0141.JPG,-38.74706443,143.67261861,98.073,0.014,0.011,0.029
3,100_0003_0142.JPG,-38.74712148,143.67265762,98.010,0.014,0.012,0.032
3,100_0003_0143.JPG,-38.74686924,143.67282596,97.268,0.015,0.012,0.033
3,100_0003_0144.JPG,-38.74680795,143.67287285,97.479,0.014,0.011,0.030
3,100_0003_0145.JPG,-38.74668532,143.67296149,97.993,0.013,0.010,0.028
3,100_0003_0146.JPG,-38.74643258,143.67279388,97.511,0.011,0.008,0.021
3,100_0003_0147.JPG,-38.74618681,143.67265132,97.721,0.010,0.008,0.018
3,100_0003_0148.JPG,-38.74594559,143.67250515,98.031,0.011,0.008,0.021
3,100_0003_0149.JPG,-38.74570000,143.67235617,98.699,0.013,0.010,0.026
3,100_0003_0150.JPG,-38.74563257,143.67232060,98.983,0.013,0.011,0.028
3,100_0003_0151.JPG,-38.74537884,143.67249060,98.036,0.015,0.012,0.033
3,100_0003_0152.JPG,-38.74521130,143.67262841,98.405,0.014,0.012,0.031
3,100_0003_0153.JPG,-38.74547785,143.67279077,97.505,0.012,0.010,0.025
3,100_0003_0154.JPG,-38.74571801,143.67293631,97.648,0.011,0.008,0.021
3,100_0003_0155.JPG,-38.74596171,143.67308415,97.753,0.010,0.007,0.018
3,100_0003_0156.JPG,-38.74620146,143.67323124,97.958,0.010,0.007,0.020
3,100_0003_0157.JPG,-38.74626233,143.67327334,97.694,0.012,0.009,0.025
3,100_0003_0158.JPG,-38.74601260,143.67344541,97.316,0.014,0.011,0.030
3,100_0003_0159.JPG,-38.74583536,143.67358430,97.899,0.015,0.012,0.033
3,100_0003_0160.JPG,-38.74558007,143.67341877,97.066,0.014,0.011,0.031
3,100_0003_0161.JPG,-38.74533488,143.67327426,97.585,0.013,0.010,0.026
4,100_0004_0001.JPG,-38.74032721,143.67745463,100.339,0.011,0.008,0.020
4,100_0004_0002.JPG,-38.74038561,143.67707435,100.047,0.034,0.030,0.076
4,100_0004_0003.JPG,-38.74043376,143.67675022,99.751,0.031,0.028,0.068
4,100_0004_0004.JPG,-38.74044751,143.67669224,99.629,0.029,0.025,0.064
4,100_0004_0005.JPG,-38.74069037,143.67646857,99.199,0.025,0.021,0.053
4,100_0004_0006.JPG,-38.74090212,143.67627046,99.184,0.021,0.018,0.046
4,100_0004_0007.JPG,-38.74107849,143.67611063,99.292,0.017,0.015,0.036
4,100_0004_0008.JPG,-38.74103783,143.67647007,98.828,0.012,0.010,0.023
4,100_0004_0009.JPG,-38.74098352,143.67680819,99.068,0.011,0.008,0.018
4,100_0004_0010.JPG,-38.74092983,143.67714528,99.484,0.035,0.030,0.077
4,100_0004_0011.JPG,-38.74087854,143.67748367,99.492,0.037,0.028,0.071
4,100_0004_0012.JPG,-38.74082648,143.67782269,99.685,0.027,0.026,0.060
4,100_0004_0013.JPG,-38.74076860,143.67814810,99.919,0.024,0.021,0.050
4,100_0004_0014.JPG,-38.74077234,143.67815517,99.909,0.022,0.018,0.046
4,100_0004_0015.JPG,-38.74101822,143.67792894,99.135,0.016,0.014,0.035
4,100_0004_0016.JPG,-38.74123380,143.67772893,99.178,0.015,0.012,0.031
4,100_0004_0017.JPG,-38.74140907,143.67755904,99.373,0.011,0.009,0.020
4,100_0004_0018.JPG,-38.74146579,143.67718605,99.474,0.009,0.008,0.017
4,100_0004_0019.JPG,-38.74151582,143.67685288,99.412,0.010,0.007,0.019
4,100_0004_0020.JPG,-38.74156739,143.67651549,99.443,0.011,0.009,0.023
4,100_0004_0021.JPG,-38.74161797,143.67617796,99.277,0.013,0.011,0.027
4,100_0004_0022.JPG,-38.74166935,143.67584151,98.921,0.014,0.012,0.030
4,100_0004_0023.JPG,-38.74171707,143.67552328,98.987,0.015,0.013,0.032
4,100_0004_0024.JPG,-38.74172993,143.67549500,99.078,0.015,0.013,0.031
4,100_0004_0025.JPG,-38.74196749,143.67527604,98.901,0.013,0.011,0.028
4,100_0004_0026.JPG,-38.74218000,143.67507709,98.918,0.012,0.010,0.024
4,100_0004_0027.JPG,-38.74235554,143.67492003,99.134,0.010,0.008,0.018
4,100_0004_0028.JPG,-38.74231071,143.67527725,98.517,0.010,0.008,0.019
4,100_0004_0029.JPG,-38.74225344,143.67561692,98.876,0.012,0.010,0.024
4,100_0004_0030.JPG,-38.74220152,143.67595666,99.218,0.014,0.011,0.029
4,100_0004_0031.JPG,-38.74215015,143.67628917,99.354,0.015,0.012,0.031
4,100_0004_0032.JPG,-38.74209825,143.67662976,99.407,0.014,0.012,0.031
4,100_0004_0033.JPG,-38.74205447,143.67691350,99.310,0.013,0.011,0.026
4,100_0004_0034.JPG,-38.74229113,143.67667641,98.651,0.010,0.008,0.019
4,100_0004_0035.JPG,-38.74250074,143.67646399,98.853,0.009,0.007,0.017
4,100_0004_0036.JPG,-38.74262880,143.67633786,98.898,0.010,0.007,0.017
4,100_0004_0037.JPG,-38.74269989,143.67627830,98.808,0.010,0.009,0.019
4,100_0004_0038.JPG,-38.74275291,143.67590927,98.676,0.013,0.010,0.026
4,100_0004_0039.JPG,-38.74280267,143.67557684,98.850,0.014,0.012,0.029
4,100_0004_0040.JPG,-38.74285452,143.67523799,98.954,0.016,0.013,0.032
4,100_0004_0041.JPG,-38.74290652,143.67489925,98.901,0.015,0.012,0.031
4,100_0004_0042.JPG,-38.74295783,143.67456511,98.898,0.015,0.012,0.029
4,100_0004_0043.JPG,-38.74300519,143.67427988,98.944,0.012,0.010,0.024
4,100_0004_0044.JPG,-38.74324983,143.67406198,98.890,0.011,0.008,0.019
4,100_0004_0045.JPG,-38.74346355,143.67386680,99.043,0.011,0.007,0.018
4,100_0004_0046.JPG,-38.74362990,143.67372215,99.026,0.012,0.009,0.022
4,100_0004_0047.JPG,-38.74357892,143.67407759,98.495,0.014,0.011,0.029
4,100_0004_0048.JPG,-38.74352991,143.67442075,98.812,0.015,0.012,0.031
4,100_0004_0049.JPG,-38.74348114,143.67475848,98.961,0.014,0.012,0.030
4,100_0004_0050.JPG,-38.74342334,143.67509963,99.421,0.013,0.011,0.027
4,100_0004_0051.JPG,-38.74337423,143.67543581,99.664,0.011,0.009,0.022
4,100_0004_0052.JPG,-38.74332104,143.67577218,99.747,0.010,0.008,0.018
4,100_0004_0053.JPG,-38.74332078,143.67580570,99.734,0.011,0.007,0.017
4,100_0004_0054.JPG,-38.74357692,143.67560476,99.171,0.011,0.009,0.021
4,100_0004_0055.JPG,-38.74380482,143.67542501,99.160,0.012,0.010,0.025
4,100_0004_0056.JPG,-38.74394002,143.67531118,99.140,0.014,0.012,0.029
4,100_0004_0057.JPG,-38.74399812,143.67493878,99.069,0.016,0.012,0.032
4,100_0004_0058.JPG,-38.74404898,143.67460690,99.011,0.017,0.012,0.032
4,100_0004_0059.JPG,-38.74410071,143.67426864,99.223,0.013,0.011,0.028
4,100_0004_0060.JPG,-38.74415204,143.67393236,99.389,0.012,0.010,0.023
4,100_0004_0061.JPG,-38.74420249,143.67359304,99.390,0.010,0.009,0.019
4,100_0004_0062.JPG,-38.74424658,143.67328123,99.429,0.011,0.007,0.018
4,100_0004_0063.JPG,-38.74426446,143.67326040,99.432,0.010,0.007,0.017
4,100_0004_0064.JPG,-38.74451171,143.67308217,99.163,0.011,0.009,0.022
4,100_0004_0065.JPG,-38.74474387,143.67291469,99.547,0.013,0.010,0.026
4,100_0004_0066.JPG,-38.74485967,143.67283532,99.554,0.014,0.012,0.030
4,100_0004_0067.JPG,-38.74481180,143.67319379,98.748,0.014,0.012,0.031
4,100_0004_0068.JPG,-38.74475800,143.67353685,99.155,0.013,0.011,0.028
4,100_0004_0069.JPG,-38.74470474,143.67387843,99.406,0.012,0.009,0.023
4,100_0004_0070.JPG,-38.74465394,143.67421190,99.411,0.011,0.008,0.019
4,100_0004_0071.JPG,-38.74459854,143.67455069,99.374,0.010,0.008,0.017
4,100_0004_0072.JPG,-38.74455883,143.67484032,99.520,0.011,0.009,0.021
4,100_0004_0073.JPG,-38.74481917,143.67463517,98.969,0.013,0.011,0.028
4,100_0004_0074.JPG,-38.74504584,143.67445654,98.971,0.014,0.012,0.030
4,100_0004_0075.JPG,-38.74518113,143.67434311,99.088,0.015,0.012,0.031
4,100_0004_0076.JPG,-38.74523978,143.67397048,98.980,0.014,0.011,0.028
4,100_0004_0077.JPG,-38.74529144,143.67363918,98.778,0.012,0.010,0.025
4,100_0004_0078.JPG,-38.74530399,143.67353035,98.730,0.011,0.009,0.022
4,100_0004_0079.JPG,-38.74519137,143.67318682,98.672,0.009,0.007,0.017
4,100_0004_0080.JPG,-38.74515215,143.67308824,98.624,0.009,0.007,0.017
4,100_0004_0081.JPG,-38.74487598,143.67299394,98.520,0.011,0.009,0.023
4,100_0004_0082.JPG,-38.74466367,143.67297121,99.251,0.013,0.011,0.027
4,100_0004_0083.JPG,-38.74441414,143.67312406,98.723,0.015,0.012,0.031
4,100_0004_0084.JPG,-38.74418168,143.67330159,99.187,0.014,0.012,0.030
4,100_0004_0085.JPG,-38.74395866,143.67348210,100.214,0.013,0.011,0.026
4,100_0004_0086.JPG,-38.74395747,143.67349114,100.315,0.013,0.010,0.025
4,100_0004_0087.JPG,-38.74425086,143.67356204,99.546,0.010,0.007,0.018
4,100_0004_0088.JPG,-38.74451281,143.67362899,99.651,0.010,0.007,0.017
4,100_0004_0089.JPG,-38.74477672,143.67369527,99.628,0.010,0.008,0.019
