=+proj=longlat +ellps=GRS80 +no_defs +type=crs,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,image, x (long), y (lat), z (alt), yaw, pitch, roll, h_accuracy, v_accuracy, label,,,,
Flight,File name,Latitude (GDA94) (deg),Longitude (GDA94) (deg),Ellipsoid height (GDA94) (m),,,,,RMS Error Up (m),,,,RMS Error North (m),RMS Error East (m)
1,100_0001_0084.JPG,-38.75837913,143.6737157,99.481,,,,,0.036,,,,0.012,0.011
1,100_0001_0085.JPG,-38.75846054,143.6740439,99.886,,,,,0.041,,,,0.014,0.012
1,100_0001_0086.JPG,-38.75848689,143.6741668,100.317,,,,,0.044,,,,0.015,0.013
1,100_0001_0087.JPG,-38.7582085,143.6742672,99.09,,,,,0.043,,,,0.015,0.013
1,100_0001_0088.JPG,-38.75794683,143.674372,99.769,,,,,0.04,,,,0.014,0.012
1,100_0001_0089.JPG,-38.7576877,143.6744705,100.412,,,,,0.034,,,,0.011,0.01
1,100_0001_0090.JPG,-38.75758326,143.6745046,100.591,,,,,0.029,,,,0.01,0.009
1,100_0001_0091.JPG,-38.75732797,143.6743354,98.899,,,,,0.026,,,,0.009,0.009
1,100_0001_0092.JPG,-38.75708886,143.6741911,99.323,,,,,0.028,,,,0.01,0.009
1,100_0001_0093.JPG,-38.75706431,143.6741679,99.407,,,,,0.032,,,,0.011,0.01
1,100_0001_0094.JPG,-38.75734963,143.6740566,99.262,,,,,0.041,,,,0.014,0.012
1,100_0001_0095.JPG,-38.75760375,143.6739598,99.456,,,,,0.045,,,,0.016,0.013
1,100_0001_0096.JPG,-38.75785898,143.673862,99.311,,,,,0.044,,,,0.015,0.014
1,100_0001_0097.JPG,-38.75811807,143.6737652,99.475,,,,,0.042,,,,0.014,0.013
1,100_0001_0098.JPG,-38.7583752,143.6736678,99.499,,,,,0.038,,,,0.013,0.011
1,100_0001_0099.JPG,-38.75848283,143.6736215,99.411,,,,,0.031,,,,0.011,0.009
1,100_0001_0100.JPG,-38.7584062,143.6732557,99.434,,,,,0.025,,,,0.01,0.008
1,100_0001_0101.JPG,-38.75837444,143.6731348,99.492,,,,,0.026,,,,0.008,0.008
1,100_0001_0102.JPG,-38.7580924,143.6732307,98.897,,,,,0.036,,,,0.012,0.011
1,100_0001_0103.JPG,-38.75783366,143.673337,99.402,,,,,0.041,,,,0.014,0.012
1,100_0001_0104.JPG,-38.75757601,143.6734343,99.91,,,,,0.044,,,,0.015,0.013
1,100_0001_0105.JPG,-38.75731798,143.6735314,100.288,,,,,0.046,,,,0.015,0.014
1,100_0001_0106.JPG,-38.75706172,143.6736273,100.362,,,,,0.042,,,,0.015,0.013
1,100_0001_0107.JPG,-38.75698599,143.6736501,100.2,,,,,0.038,,,,0.013,0.011
1,100_0001_0108.JPG,-38.75693485,143.6733172,99.523,,,,,0.027,,,,0.01,0.008
1,100_0001_0109.JPG,-38.7568351,143.6731755,99.495,,,,,0.025,,,,0.008,0.008
1,100_0001_0110.JPG,-38.7571259,143.6730643,98.928,,,,,0.033,,,,0.011,0.01
1,100_0001_0111.JPG,-38.75737847,143.6729693,98.907,,,,,0.039,,,,0.013,0.012
1,100_0001_0112.JPG,-38.75763526,143.672872,99.06,,,,,0.043,,,,0.015,0.013
1,100_0001_0113.JPG,-38.75789284,143.6727761,99.116,,,,,0.045,,,,0.016,0.014
1,100_0001_0114.JPG,-38.75814142,143.6726815,99.367,,,,,0.043,,,,0.015,0.013
1,100_0001_0115.JPG,-38.75817142,143.6726627,99.412,,,,,0.041,,,,0.014,0.012
1,100_0001_0116.JPG,-38.75803013,143.6723328,99.055,,,,,0.033,,,,0.011,0.01
1,100_0001_0117.JPG,-38.75796892,143.6722095,99.213,,,,,0.027,,,,0.009,0.008
1,100_0001_0118.JPG,-38.75768817,143.6723059,98.554,,,,,0.026,,,,0.009,0.008
1,100_0001_0119.JPG,-38.75742762,143.6724098,99.063,,,,,0.031,,,,0.01,0.01
1,100_0001_0120.JPG,-38.75717099,143.6725101,99.744,,,,,0.037,,,,0.013,0.011
1,100_0001_0121.JPG,-38.75691477,143.6726066,100.265,,,,,0.042,,,,0.014,0.013
1,100_0001_0122.JPG,-38.75665756,143.6727031,100.523,,,,,0.044,,,,0.015,0.013
1,100_0001_0123.JPG,-38.75652816,143.6727477,100.485,,,,,0.044,,,,0.015,0.013
1,100_0001_0124.JPG,-38.75633277,143.6724684,99.039,,,,,0.039,,,,0.013,0.012
1,100_0001_0125.JPG,-38.75624064,143.6723262,99.308,,,,,0.032,,,,0.011,0.01
1,100_0001_0126.JPG,-38.75652502,143.6722154,98.852,,,,,0.025,,,,0.009,0.009
1,100_0001_0127.JPG,-38.75677928,143.672119,98.669,,,,,0.026,,,,0.009,0.009
1,100_0001_0128.JPG,-38.75703872,143.6720209,98.772,,,,,0.032,,,,0.011,0.01
1,100_0001_0129.JPG,-38.75729459,143.6719242,98.856,,,,,0.04,,,,0.014,0.012
1,100_0001_0130.JPG,-38.75755303,143.6718271,98.994,,,,,0.062,,,,0.017,0.016
1,100_0001_0131.JPG,-38.75774331,143.6717484,98.933,,,,,0.045,,,,0.015,0.014
1,100_0001_0132.JPG,-38.75756582,143.6714461,98.96,,,,,0.041,,,,0.014,0.012
1,100_0001_0133.JPG,-38.75748156,143.6713179,99.168,,,,,0.036,,,,0.012,0.01
1,100_0001_0134.JPG,-38.75720124,143.6714132,98.206,,,,,0.026,,,,0.009,0.008
1,100_0001_0135.JPG,-38.75694292,143.6715188,98.704,,,,,0.024,,,,0.009,0.007
1,100_0001_0136.JPG,-38.75668363,143.671617,99.525,,,,,0.029,,,,0.01,0.009
1,100_0001_0137.JPG,-38.75642867,143.6717132,100.025,,,,,0.035,,,,0.012,0.011
1,100_0001_0138.JPG,-38.75617108,143.6718116,100.346,,,,,0.04,,,,0.014,0.012
1,100_0001_0139.JPG,-38.75591513,143.6719056,100.143,,,,,0.044,,,,0.015,0.013
1,100_0001_0140.JPG,-38.75576998,143.6719602,100.54,,,,,0.045,,,,0.015,0.014
1,100_0001_0141.JPG,-38.7555089,143.6718061,99.114,,,,,0.041,,,,0.014,0.012
1,100_0001_0142.JPG,-38.7552606,143.6716771,98.915,,,,,0.036,,,,0.012,0.011
1,100_0001_0143.JPG,-38.75520296,143.671639,99.074,,,,,0.031,,,,0.011,0.01
1,100_0001_0144.JPG,-38.75548981,143.6715288,98.476,,,,,0.024,,,,0.009,0.006
1,100_0001_0145.JPG,-38.75574253,143.6714317,98.41,,,,,0.027,,,,0.009,0.008
1,100_0001_0146.JPG,-38.7559996,143.6713351,98.72,,,,,0.033,,,,0.011,0.01
1,100_0001_0147.JPG,-38.75625953,143.6712368,98.784,,,,,0.039,,,,0.013,0.012
1,100_0001_0148.JPG,-38.75651754,143.6711405,99.009,,,,,0.043,,,,0.015,0.013
1,100_0001_0149.JPG,-38.75677457,143.671044,99.162,,,,,0.045,,,,0.015,0.014
1,100_0001_0150.JPG,-38.75703132,143.6709478,99.078,,,,,0.044,,,,0.015,0.013
1,100_0001_0151.JPG,-38.75710913,143.6709145,99.021,,,,,0.04,,,,0.014,0.014
1,100_0001_0152.JPG,-38.7568452,143.6707463,98.628,,,,,0.03,,,,0.01,0.009
1,100_0001_0153.JPG,-38.75660004,143.6706086,99.287,,,,,0.025,,,,0.009,0.007
1,100_0001_0154.JPG,-38.75655209,143.6705846,99.264,,,,,0.024,,,,0.008,0.007
1,100_0001_0155.JPG,-38.75627966,143.6706824,97.884,,,,,0.03,,,,0.011,0.01
1,100_0001_0156.JPG,-38.75601732,143.6707897,98.662,,,,,0.037,,,,0.013,0.011
1,100_0001_0157.JPG,-38.75575955,143.6708858,99.378,,,,,0.042,,,,0.014,0.013
1,100_0001_0158.JPG,-38.75550207,143.6709834,99.822,,,,,0.044,,,,0.015,0.014
1,100_0001_0159.JPG,-38.75524501,143.6710797,100.216,,,,,0.044,,,,0.015,0.013
1,100_0001_0160.JPG,-38.75498939,143.6711778,100.5,,,,,0.041,,,,0.014,0.012
1,100_0001_0161.JPG,-38.7547324,143.671276,100.68,,,,,0.036,,,,0.012,0.011
1,100_0001_0162.JPG,-38.75464476,143.6713044,100.606,,,,,0.03,,,,0.01,0.009
1,100_0001_0163.JPG,-38.75466785,143.6709275,99.251,,,,,0.028,,,,0.01,0.008
1,100_0001_0164.JPG,-38.75468319,143.6707586,98.891,,,,,0.028,,,,0.01,0.009
1,100_0001_0165.JPG,-38.75496777,143.670648,98.39,,,,,0.038,,,,0.013,0.011
1,100_0001_0166.JPG,-38.75522049,143.6705524,98.565,,,,,0.042,,,,0.014,0.013
1,100_0001_0167.JPG,-38.75547801,143.6704558,98.725,,,,,0.046,,,,0.015,0.014
1,100_0001_0168.JPG,-38.75573615,143.6703587,98.935,,,,,0.047,,,,0.016,0.014
1,100_0001_0169.JPG,-38.7559024,143.6702932,98.929,,,,,0.043,,,,0.015,0.013
1,100_0001_0170.JPG,-38.75561987,143.6701976,98.58,,,,,0.033,,,,0.011,0.01
1,100_0001_0171.JPG,-38.75535287,143.6701237,99.055,,,,,0.027,,,,0.009,0.008
1,100_0001_0172.JPG,-38.75511149,143.6700544,99.447,,,,,0.026,,,,0.009,0.008
1,100_0001_0173.JPG,-38.7548421,143.6701519,98.307,,,,,0.037,,,,0.012,0.011
2,100_0002_0001.JPG,-38.75038912,143.6716542,99.032,,,,,0.035,,,,0.013,0.012
2,100_0002_0002.JPG,-38.75034276,143.6716049,98.915,,,,,0.03,,,,0.012,0.01
2,100_0002_0003.JPG,-38.75028849,143.6712406,98.921,,,,,0.023,,,,0.009,0.007
2,100_0002_0004.JPG,-38.75023459,143.6709112,99.709,,,,,0.099,,,,0.038,0.033
2,100_0002_0005.JPG,-38.7502306,143.6708564,99.682,,,,,0.103,,,,0.042,0.031
2,100_0002_0006.JPG,-38.75046874,143.6710823,98.731,,,,,0.076,,,,0.028,0.025
2,100_0002_0007.JPG,-38.75068239,143.6712921,99.115,,,,,0.063,,,,0.024,0.021
2,100_0002_0008.JPG,-38.75088784,143.6714924,99.684,,,,,0.053,,,,0.02,0.018
