Flight,File name,Latitude (GDA94) (deg),Longitude (GDA94) (deg),Ellipsoid height (GDA94) (m),RMS Error North (m),RMS Error East (m),RMS Error Up (m)
3,100_0010_0007.JPG,-38.74572230,143.67255176,101.875,0.026,0.020,0.074
3,100_0010_0008.JPG,-38.74560772,143.67285829,101.722,0.022,0.017,0.062
3,100_0010_0009.JPG,-38.74549043,143.67317056,101.853,0.020,0.018,0.064
3,100_0010_0010.JPG,-38.74537367,143.67348068,101.957,0.014,0.014,0.048
3,100_0010_0011.JPG,-38.74534928,143.67356183,101.996,0.011,0.011,0.040
3,100_0010_0012.JPG,-38.74563803,143.67366242,101.841,0.049,0.040,0.140
3,100_0010_0013.JPG,-38.74574672,143.67368998,102.310,0.046,0.047,0.157
3,100_0010_0014.JPG,-38.74587371,143.67336661,101.713,0.050,0.060,0.149
3,100_0010_0015.JPG,-38.74598984,143.67304034,102.452,0.039,0.034,0.109
3,100_0010_0016.JPG,-38.74610438,143.67272802,103.263,0.032,0.029,0.092
3,100_0010_0017.JPG,-38.74622024,143.67241610,104.115,0.023,0.020,0.063
3,100_0010_0018.JPG,-38.74633668,143.67211138,104.027,0.018,0.018,0.056
3,100_0010_0019.JPG,-38.74644855,143.67180241,104.188,0.012,0.010,0.034
3,100_0010_0020.JPG,-38.74647064,143.67175220,104.375,0.010,0.010,0.037
3,100_0010_0021.JPG,-38.74672543,143.67159694,102.598,0.012,0.008,0.029
3,100_0010_0022.JPG,-38.74695728,143.67141785,102.180,0.015,0.015,0.050
3,100_0010_0023.JPG,-38.74706967,143.67134047,102.994,0.019,0.015,0.049
3,100_0010_0024.JPG,-38.74694093,143.67168159,102.389,0.028,0.033,0.083
3,100_0010_0025.JPG,-38.74682758,143.67199199,101.939,0.025,0.022,0.070
3,100_0010_0026.JPG,-38.74671129,143.67230031,101.966,0.022,0.019,0.062
3,100_0010_0027.JPG,-38.74659510,143.67261153,102.111,0.013,0.010,0.035
3,100_0010_0028.JPG,-38.74647992,143.67291938,102.151,0.011,0.008,0.029
3,100_0010_0029.JPG,-38.74636974,143.67321575,102.151,0.010,0.008,0.029
3,100_0010_0030.JPG,-38.74636324,143.67324189,102.142,0.011,0.012,0.039
3,100_0010_0031.JPG,-38.74662794,143.67309472,101.485,0.021,0.019,0.061
3,100_0010_0032.JPG,-38.74685643,143.67290325,102.349,0.019,0.018,0.064
3,100_0010_0033.JPG,-38.74692826,143.67284735,102.693,0.019,0.017,0.058
3,100_0010_0034.JPG,-38.74698241,143.67279888,102.702,0.019,0.014,0.052
3,100_0010_0035.JPG,-38.74711545,143.67249708,102.330,0.018,0.013,0.047
3,100_0010_0036.JPG,-38.74721988,143.67217416,103.510,0.017,0.016,0.051
3,100_0010_0037.JPG,-38.74733163,143.67185525,103.976,0.011,0.010,0.031
3,100_0010_0038.JPG,-38.74744807,143.67153257,104.348,0.010,0.010,0.028
3,100_0010_0039.JPG,-38.74756094,143.67122251,104.748,0.016,0.015,0.047
3,100_0010_0040.JPG,-38.74763730,143.67102328,104.612,0.022,0.026,0.067
3,100_0010_0041.JPG,-38.74791249,143.67092414,103.140,0.025,0.022,0.070
3,100_0010_0042.JPG,-38.74814873,143.67082246,103.127,0.019,0.015,0.053
3,100_0010_0043.JPG,-38.74814814,143.67083589,103.068,0.018,0.014,0.051
3,100_0010_0044.JPG,-38.74802157,143.67117364,102.749,0.015,0.012,0.042
3,100_0010_0045.JPG,-38.74790855,143.67148042,102.712,0.012,0.010,0.034
3,100_0010_0046.JPG,-38.74779406,143.67178967,102.695,0.010,0.009,0.028
3,100_0010_0047.JPG,-38.74767876,143.67209861,102.730,0.010,0.009,0.029
3,100_0010_0048.JPG,-38.74757153,143.67238653,102.755,0.015,0.014,0.048
3,100_0010_0049.JPG,-38.74757848,143.67238627,102.587,0.016,0.016,0.053
3,100_0010_0050.JPG,-38.74783599,143.67221153,102.302,0.018,0.014,0.050
3,100_0010_0051.JPG,-38.74792100,143.67215304,102.704,0.019,0.016,0.057
3,100_0010_0052.JPG,-38.74812837,143.67209242,102.569,0.020,0.019,0.066
3,100_0010_0053.JPG,-38.74825539,143.67176437,101.832,0.017,0.016,0.054
3,100_0010_0054.JPG,-38.74836738,143.67144786,102.411,0.013,0.011,0.036
3,100_0010_0055.JPG,-38.74848217,143.67114132,102.965,0.012,0.012,0.038
3,100_0010_0056.JPG,-38.74859874,143.67082897,103.453,0.010,0.010,0.031
3,100_0010_0057.JPG,-38.74865668,143.67068116,103.811,0.013,0.010,0.035
3,100_0010_0058.JPG,-38.74894037,143.67061797,102.162,0.018,0.017,0.060
3,100_0010_0059.JPG,-38.74914127,143.67056693,102.119,0.023,0.022,0.070
3,100_0010_0060.JPG,-38.74901511,143.67090796,102.078,0.026,0.027,0.074
3,100_0010_0061.JPG,-38.74890158,143.67121447,102.089,0.021,0.019,0.060
3,100_0010_0062.JPG,-38.74878402,143.67152719,102.060,0.013,0.013,0.044
3,100_0010_0063.JPG,-38.74867040,143.67183436,102.014,0.011,0.011,0.036
3,100_0010_0064.JPG,-38.74863035,143.67195257,102.183,0.011,0.009,0.028
